
Results of the calculations presented in the figures and tables of 
"Structure of even-even nuclei using a mapped collective Hamiltonian and the D1S Gogny interaction",
J.-P. Delaroche, M.Girod, J.Libert, H.Goutte, S.Hilaire, S.Péru, N.Pillet, and G.F.Bertsch, 
submitted for publication to Phys.Rev.C (2009), are tabulated below.
The table is also posted on the EPAPS repository, Document No.[??????????].
The quantities tabulated are listed by column.
The figures and tables that make use of the various quantities are also indicated.


	Entries 							Notations			Tables 				Figures
1. Proton number 							Z
2. Neutron number 							N
3. HFB energy minimum (MeV)						EHFB 				III		 		8,9
4. beta deformation at HFB energy minimum       			BMIN 								3a, 4
5. gamma deformation (degree) at HFB energy minimum 			GMIN 								3a
6. Charge radius (fm) at HFB energy minimum 	 			RCHFB				II 				6,7
7. Point proton radius (fm) at HFB energy minimum 	 			RPHFB
8. Neutron radius(fm) at HFB energy minimum 	 			RNHFB
9. CHFB+5DCH ground state energy (MeV)	 				EABS 				III 				8,9
10. Correlation energy (MeV)	 					ECORR 								8
11. Mean ground state beta deformation  				BET01 								3b, 4, 5
12. Mean ground state gamma deformation (degree) 			GAM01 								3b, 4, 5
13. Variance of ground state beta deformation 	 			DELB01 								5
14. Variance of ground state gamma deformation (degree)  		DELG01 								5
15. Yrast 2^+ state energy (MeV) 					E21 				IV 				10, 11, 12, 22
16. Yrast 4^+ state energy (MeV) 					E41 				IV 				10, 11, 12, 13, 14, 15, 21, 22
17. Yrast 6^+ state energy (MeV) 					E61 				IV 				10, 11, 13, 14, 15
18. First 0^+ excited state energy (MeV) 				E02 				IV 				20, 21, 22
19. Second 2^+ excited state energy (MeV) 				E22 				IV 				18,19
20. Third 2^+ excited state energy (MeV) 				E23 								18, 19, 26
21. P(K=0) for yrast 2^+ state (%) 					P(K=0,2_1)
22. P(K=2) for second 2^+ excited state (%) 				P(K=2,2_2) 							16,17
23. P(K=2) for third 2^+ excited state (%) 				P(K=2,2_3) 							17
24. B(E2; 2^+_1 --> 0^+_1) ( e**2 b**2) 				B(E2;2_1-0_1) 			I, IV 				10,11
25. B(E2; 2^+_3 --> 0^+_1) (e**2 b**2) 					B(E2;2_3-0_1) 			I 				23,24
26. B(E2; 2^+_1 --> 0^+_2) (e**2 b**2) 					B(E2;2_1-0_2) 			I				23,24
27. B(E2; 4^+_1 --> 2^+_1) (e**2 b**2) 					B(E2;4_1-2_1) 			I 				14
28. B(E2; 2^+_3 --> 2^+_1) (e**2 b**2) 					B(E2;2_3-2_1) 			I 				23,24
29. B(E2; 2^+_3 -->0^+_2) (e**2 b**2) 					B(E2;2_3-0_2) 			I 				26
30. CHFB+5DCH charge radius (fm)  					RC5DCH 								6,7
31. CHFB+5DCH point proton radius (fm) 					RP5DCH
32. CHFB+5DCH neutron radius (fm) 					RN5DCH
33. CHFB+5DCH squred E0 matrix element			 		ROE0TH 				IV			 	25
34. For each Z : Neutron number at 5DCH proton drip-line  		NMIN
35. For each Z : Neutron number at 5DCH neutron drip-line   		NMAX

   Z   N         EHFB      BMIN      GMIN     RCHFB   RPHFB   RNHFB        EABS         ECORR     BET01     GAM01    DELB01      DELG01    E21    E41     E61     E02     E22      E23         P(K=0,2_1)      P(K=2,2_2)      P(K=2,2_3)    B(E2;2_1-0_1)    B(E2;2_3-0_1)     B(E2;2_1-0_2)     B(E2;4_1-2_1)     B(E2;2_3-2_1)     B(E2;2_3-0_2)   RC5DCH   RP5DCH   RN5DCH      ROE0TH            NMIN  NMAX
  10   8       -134.121    0.000        0.    2.88    2.82    2.67       -137.910       -3.789    0.393       27.     0.087         13.   6.485  15.876  28.139  19.159  15.318  32.414            0.89            0.83            0.21      0.173972E+02      0.375260E-01      0.700320E+00      0.268086E+02      0.204023E+00      0.102760E+02     3.01     2.95     2.76      0.230E+00                22
  10  10       -155.991    0.477        0.    2.96    2.91    2.88       -161.786       -5.795    0.398       24.     0.087         13.   3.652   8.844  15.555  15.255  10.806  22.839            0.94            0.89            0.17      0.199891E+02      0.782325E-01      0.252221E+00      0.306473E+02      0.177252E+00      0.143336E+02     2.97     2.92     2.89      0.213E+00                22
  10  12       -174.895    0.411        0.    2.94    2.89    2.95       -180.795       -5.900    0.450       24.     0.098         12.   2.460   6.300  11.503  10.255   7.073  14.894            0.96            0.92            0.15      0.286168E+02      0.402095E-01      0.683061E-01      0.439870E+02      0.897943E-01      0.240649E+02     2.99     2.94     3.00      0.219E+00                22
  10  14       -188.673    0.216       52.    2.92    2.87    3.00       -195.695       -7.022    0.392       27.     0.085         13.   3.208   8.044  14.489  10.976   7.108  17.157            0.67            0.62            0.34      0.256099E+02      0.261162E+00      0.114666E+01      0.391664E+02      0.231264E-02      0.182676E+02     2.99     2.94     3.08     -0.146E+00                22
  10  16       -200.543    0.000        0.    2.92    2.87    3.12       -204.469       -3.926    0.385       27.     0.090         13.   3.066   7.604  13.605  10.432   6.941  16.773            0.87            0.83            0.19      0.276119E+02      0.224315E+00      0.233756E+01      0.431379E+02      0.101456E+00      0.146526E+02     3.03     2.98     3.21      0.173E+00                22
  10  18       -206.267    0.000        0.    2.97    2.93    3.27       -209.708       -3.441    0.374       26.     0.096         13.   2.785   6.686  11.729   8.199   6.472  13.564            0.87            0.85            0.26      0.292811E+02      0.251527E+00      0.349247E+01      0.471265E+02      0.103595E+00      0.163037E+02     3.05     3.01     3.35      0.130E+00                22
  10  20       -210.119    0.000        0.    3.02    2.98    3.38       -212.697       -2.578    0.355       26.     0.073         13.   2.527   5.930  10.375  11.255   6.421  16.776            0.91            0.89            0.17      0.276078E+02      0.775906E-01      0.136350E+01      0.426228E+02      0.129809E-01      0.155413E+02     3.07     3.03     3.47      0.647E-01                22
  10  22       -209.794    0.375        0.    3.10    3.06    3.55       -214.051       -4.257    0.360       25.     0.083         13.   2.087   5.025   8.838   8.915   6.324  13.474            0.95            0.92            0.13      0.304078E+02      0.199602E+00      0.198512E+01      0.475265E+02      0.473206E+00      0.174165E+02     3.09     3.06     3.58      0.747E-01                22
  10  24       -209.613    0.440        0.    3.14    3.11    3.66       -213.646       -4.033    0.395       22.     0.086         13.   1.422   3.530   6.402   7.708   4.649  10.461            0.97            0.94            0.14      0.392125E+02      0.750082E-01      0.295244E-01      0.597917E+02      0.427477E-01      0.348608E+02     3.13     3.10     3.69     -0.375E-01                22
  12   8       -136.221    0.000        0.    3.01    2.95    2.70       -140.906       -4.685    0.372       28.     0.071         13.   5.468  13.783  24.729  18.854  11.826  28.919            0.76            0.71            0.29      0.261048E+02      0.299580E-01      0.167306E+00      0.391402E+02      0.123712E-03      0.201916E+02     3.14     3.09     2.76      0.253E+00          8     26
  12  10       -166.253    0.500        0.    3.08    3.03    2.90       -172.387       -6.134    0.410       25.     0.082         13.   2.959   7.310  13.171  12.318   7.688  17.907            0.93            0.89            0.17      0.346064E+02      0.213225E-01      0.238407E-02      0.523884E+02      0.591553E-02      0.289601E+02     3.08     3.03     2.90     -0.226E+00          8     26
  12  12       -193.252    0.537        0.    3.10    3.04    3.01       -199.258       -6.006    0.376       27.     0.066         13.   2.669   6.438  11.516  11.951   6.860  17.247            0.93            0.89            0.19      0.321585E+02      0.235355E-04      0.197258E+00      0.474671E+02      0.144254E-01      0.269910E+02     3.06     3.01     2.98      0.128E+00          8     26
  12  14       -212.396    0.309       60.    3.05    3.00    3.04       -219.997       -7.601    0.412       28.     0.081         13.   2.437   6.173  11.313   7.867   5.113  12.578            0.67            0.60            0.38      0.451355E+02      0.213187E+00      0.342776E+00      0.676742E+02      0.424763E-02      0.346980E+02     3.11     3.05     3.09     -0.122E+00          8     26
  12  16       -228.493    0.000        0.    3.02    2.97    3.10       -234.292       -5.799    0.403       27.     0.086         13.   2.241   5.629  10.247   9.046   5.080  13.024            0.90            0.86            0.24      0.469065E+02      0.711847E-01      0.938249E-01      0.713983E+02      0.249847E-01      0.406291E+02     3.14     3.09     3.20     -0.166E+00          8     26
  12  18       -239.350    0.030       36.    3.07    3.02    3.23       -244.224       -4.874    0.386       26.     0.091         13.   2.144   5.284   9.414   6.874   4.902  10.822            0.87            0.84            0.27      0.487816E+02      0.381758E+00      0.407276E+01      0.765996E+02      0.150663E+00      0.292956E+02     3.16     3.12     3.30     -0.183E+00          8     26
  12  20       -248.044    0.000        0.    3.12    3.07    3.34       -251.493       -3.449    0.356       27.     0.072         13.   2.058   4.914   8.691   8.129   4.795  12.303            0.88            0.85            0.20      0.442591E+02      0.747081E-01      0.186175E+01      0.681500E+02      0.469131E-03      0.266798E+02     3.18     3.13     3.40     -0.109E+00          8     26
  12  22       -252.426    0.393        0.    3.20    3.15    3.49       -257.273       -4.847    0.370       25.     0.079         12.   1.596   3.994   7.199   6.962   4.568  10.724            0.95            0.93            0.14      0.501904E+02      0.209466E+00      0.304437E+01      0.781288E+02      0.346696E+00      0.254224E+02     3.20     3.16     3.50      0.112E+00          8     26
  12  24       -256.750    0.418        0.    3.24    3.20    3.58       -261.507       -4.757    0.363       24.     0.071         12.   1.331   3.459   6.353   6.961   3.860   9.409            0.96            0.93            0.13      0.513512E+02      0.559246E-01      0.845315E-01      0.773896E+02      0.934935E-03      0.450322E+02     3.23     3.19     3.58      0.792E-01          8     26
  12  26       -258.707    0.418        0.    3.26    3.22    3.66       -263.227       -4.520    0.446       20.     0.100         11.   0.820   2.348   4.585   4.774   2.544   6.192            0.99            0.97            0.19      0.826821E+02      0.134579E-01      0.320114E+00      0.124827E+03      0.246938E+00      0.929730E+02     3.28     3.25     3.71      0.572E-01          8     26
