A   Z  EHFB    BMIN
18 10 -134.121 0.000
20 10 -155.991 0.477
22 10 -174.895 0.411
24 10 -188.673 0.216
26 10 -200.543 0.000
28 10 -206.267 0.000
30 10 -210.119 0.000
32 10 -209.794 0.375
34 10 -209.613 0.440
20 12 -136.221 0.000
22 12 -166.253 0.500
24 12 -193.252 0.537
26 12 -212.396 0.309
28 12 -228.493 0.000
30 12 -239.350 0.030
32 12 -248.044 0.000
34 12 -252.426 0.393
36 12 -256.750 0.418
38 12 -258.707 0.418
40 12 -259.084 0.434
24 14 -169.931 0.229
26 14 -202.308 0.324
28 14 -231.580 0.370
30 14 -251.642 0.000
32 14 -267.571 0.010
34 14 -281.138 0.000
36 14 -289.193 0.000
38 14 -296.124 0.285
40 14 -302.178 0.277
42 14 -308.149 0.332
44 14 -309.294 0.258
46 14 -309.833 0.000
48 14 -308.906 0.000
26 16 -170.953 0.000
28 16 -207.112 0.127
30 16 -240.147 0.030
32 16 -266.324 0.030
34 16 -287.593 0.000
36 16 -306.313 0.000
38 16 -318.591 0.101
40 16 -329.935 0.245
42 16 -339.789 0.301
44 16 -347.416 0.242
46 16 -352.907 0.200
48 16 -356.929 0.000
50 16 -358.107 0.000
52 16 -357.066 0.000
32 18 -244.132 0.130
34 18 -275.353 0.020
36 18 -302.398 0.180
38 18 -326.642 0.000
40 18 -343.097 0.000
42 18 -357.769 0.053
44 18 -371.021 0.081
46 18 -382.664 0.000
48 18 -391.254 0.190
50 18 -398.300 0.000
52 18 -402.082 0.000
54 18 -404.332 0.000
56 18 -405.624 0.000
58 18 -405.797 0.000
60 18 -404.840 0.000
62 18 -402.438 0.080
36 20 -280.879 0.000
38 20 -313.152 0.000
40 20 -342.689 0.000
42 20 -363.216 0.000
44 20 -381.873 0.000
46 20 -398.948 0.000
48 20 -414.330 0.000
50 20 -424.941 0.000
52 20 -435.072 0.000
54 20 -441.870 0.000
56 20 -447.370 0.000
58 20 -451.891 0.000
60 20 -455.142 0.000
62 20 -457.027 0.000
64 20 -457.075 0.000
66 20 -456.533 0.000
40 22 -315.260 0.000
42 22 -348.944 0.000
44 22 -373.515 0.000
46 22 -396.263 0.183
48 22 -417.028 0.109
50 22 -436.133 0.000
52 22 -449.568 0.000
54 22 -461.844 0.000
56 22 -471.348 0.000
58 22 -479.567 0.000
60 22 -486.797 0.000
62 22 -492.737 0.000
64 22 -497.829 0.000
66 22 -500.568 0.000
68 22 -502.765 0.131
70 22 -504.023 0.000
72 22 -504.617 0.000
74 22 -503.636 0.000
44 24 -352.117 0.000
46 24 -380.777 0.187
48 24 -408.862 0.305
50 24 -432.752 0.240
52 24 -454.350 0.000
54 24 -471.103 0.209
56 24 -485.275 0.182
58 24 -497.666 0.168
60 24 -508.515 0.082
62 24 -518.371 0.000
64 24 -526.995 0.000
66 24 -535.199 0.000
68 24 -541.087 0.146
70 24 -546.030 0.152
72 24 -549.528 0.138
74 24 -552.491 0.000
76 24 -552.631 0.000
78 24 -552.345 0.075
80 24 -552.796 0.000
46 26 -352.554 0.000
48 26 -384.861 0.136
50 26 -416.115 0.254
52 26 -444.226 0.238
54 26 -469.327 0.000
56 26 -489.002 0.206
58 26 -506.145 0.210
60 26 -521.330 0.201
62 26 -534.589 0.153
64 26 -547.072 0.000
66 26 -558.359 0.000
68 26 -569.252 0.000
70 26 -577.594 0.134
72 26 -585.156 0.146
74 26 -591.258 0.122
76 26 -596.952 0.000
78 26 -598.411 0.000
80 26 -599.460 0.033
82 26 -601.282 0.000
84 26 -600.675 0.000
50 28 -386.061 0.000
52 28 -419.757 0.000
54 28 -451.439 0.000
56 28 -481.111 0.000
58 28 -502.928 0.000
60 28 -522.769 0.000
62 28 -540.848 0.160
64 28 -557.226 0.090
66 28 -572.574 0.000
68 28 -586.527 0.000
70 28 -599.867 0.000
72 28 -610.636 0.000
74 28 -620.519 0.000
76 28 -629.585 0.000
78 28 -637.845 0.000
80 28 -640.778 0.000
82 28 -643.251 0.000
84 28 -646.472 0.000
86 28 -647.007 0.000
88 28 -646.511 0.000
90 28 -645.242 0.000
56 30 -452.504 0.216
58 30 -483.960 0.000
60 30 -510.611 0.233
62 30 -533.362 0.229
64 30 -554.281 0.230
66 30 -573.158 0.180
68 30 -590.456 0.140
70 30 -606.760 0.000
72 30 -622.328 0.000
74 30 -635.729 0.139
76 30 -648.180 0.149
78 30 -659.039 0.136
80 30 -669.338 0.000
82 30 -674.918 0.198
84 30 -679.628 0.203
86 30 -683.908 0.143
88 30 -686.157 0.137
90 30 -687.452 0.137
92 30 -688.083 0.150
94 30 -688.217 0.160
96 30 -688.247 0.300
98 30 -687.766 0.203
100 30 -687.292 0.242
102 30 -686.194 0.280
60 32 -484.235 0.170
62 32 -513.779 0.235
64 32 -540.907 0.270
66 32 -564.824 0.252
68 32 -586.094 0.230
70 32 -605.870 0.206
72 32 -624.246 0.206
74 32 -641.764 0.000
76 32 -657.729 0.147
78 32 -672.502 0.163
80 32 -685.834 0.149
82 32 -697.967 0.000
84 32 -705.435 0.198
86 32 -712.477 0.205
88 32 -718.403 0.155
90 32 -722.462 0.151
92 32 -725.847 0.248
94 32 -728.848 0.259
96 32 -731.142 0.249
98 32 -732.909 0.300
100 32 -734.028 0.290
102 32 -734.512 0.246
104 32 -734.805 0.271
106 32 -734.301 0.248
108 32 -733.442 0.235
110 32 -732.082 0.163
112 32 -730.168 0.149
64 34 -514.353 0.246
66 34 -544.377 0.256
68 34 -572.282 0.269
70 34 -595.992 0.266
72 34 -618.103 0.230
74 34 -638.931 0.220
76 34 -658.556 0.000
78 34 -676.416 0.133
80 34 -693.725 0.151
82 34 -709.402 0.145
84 34 -723.840 0.000
86 34 -732.522 0.190
88 34 -741.718 0.206
90 34 -749.642 0.159
92 34 -756.385 0.252
94 34 -761.604 0.261
96 34 -766.615 0.260
98 34 -770.478 0.253
100 34 -774.103 0.250
102 34 -776.903 0.248
104 34 -778.923 0.247
106 34 -780.334 0.272
108 34 -781.183 0.246
110 34 -781.859 0.152
112 34 -782.333 0.127
114 34 -782.397 0.000
116 34 -782.428 0.000
66 36 -512.045 0.210
68 36 -544.556 0.247
70 36 -575.017 0.278
72 36 -601.941 0.337
74 36 -626.925 0.160
76 36 -650.464 0.000
78 36 -672.803 0.000
80 36 -692.667 0.043
82 36 -711.883 0.104
84 36 -729.878 0.062
86 36 -746.954 0.000
88 36 -757.040 0.086
90 36 -767.158 0.196
92 36 -777.531 0.140
94 36 -785.646 0.150
96 36 -793.064 0.302
98 36 -799.819 0.296
100 36 -805.478 0.241
102 36 -810.914 0.247
104 36 -815.484 0.242
106 36 -819.175 0.230
108 36 -822.243 0.160
110 36 -825.058 0.140
112 36 -827.440 0.040
114 36 -829.866 0.026
116 36 -831.925 0.000
118 36 -833.525 0.000
120 36 -830.990 0.000
70 38 -542.253 0.242
72 38 -575.041 0.257
74 38 -604.761 0.170
76 38 -633.766 0.503
78 38 -659.851 0.000
80 38 -684.459 0.000
82 38 -706.514 0.000
84 38 -727.780 0.000
86 38 -748.000 0.000
88 38 -767.086 0.000
90 38 -778.962 0.000
92 38 -790.143 0.090
94 38 -802.490 0.130
96 38 -812.418 0.140
98 38 -821.745 0.452
100 38 -830.593 0.448
102 38 -838.425 0.445
104 38 -845.196 0.438
106 38 -851.048 0.230
108 38 -856.471 0.220
110 38 -861.665 0.150
112 38 -866.242 0.000
114 38 -870.667 0.000
116 38 -874.638 0.000
118 38 -878.262 0.000
120 38 -881.126 0.000
122 38 -879.717 0.000
74 40 -572.899 0.240
76 40 -605.199 0.200
78 40 -636.532 0.000
80 40 -666.189 0.000
82 40 -692.985 0.000
84 40 -717.123 0.000
86 40 -740.522 0.000
88 40 -762.831 0.000
90 40 -783.994 0.000
92 40 -797.731 0.000
94 40 -810.636 0.000
96 40 -824.319 0.000
98 40 -835.728 0.150
100 40 -846.682 0.170
102 40 -856.977 0.200
104 40 -866.670 0.210
106 40 -875.642 0.230
108 40 -883.765 0.230
110 40 -890.926 0.210
112 40 -897.644 0.000
114 40 -904.123 0.000
116 40 -910.074 0.000
118 40 -915.568 0.000
120 40 -920.563 0.000
122 40 -925.132 0.000
124 40 -924.660 0.000
126 40 -923.924 0.000
78 42 -603.904 0.000
80 42 -637.733 0.000
82 42 -669.470 0.000
84 42 -697.435 0.000
86 42 -724.260 0.000
88 42 -749.863 0.000
90 42 -774.331 0.000
92 42 -797.656 0.000
94 42 -813.174 0.000
96 42 -827.834 0.000
98 42 -843.046 0.000
100 42 -856.128 0.140
102 42 -868.766 0.170
104 42 -880.954 0.210
106 42 -892.444 0.216
108 42 -903.325 0.230
110 42 -913.194 0.230
112 42 -922.038 0.220
114 42 -929.914 0.000
116 42 -938.070 0.000
118 42 -945.711 0.000
120 42 -952.841 0.000
122 42 -959.482 0.000
124 42 -965.710 0.000
126 42 -966.230 0.000
128 42 -966.481 0.000
130 42 -966.325 0.000
132 42 -965.946 0.000
134 42 -965.098 0.000
84 44 -669.136 0.000
86 44 -699.650 0.000
88 44 -728.757 0.000
90 44 -756.584 0.000
92 44 -783.266 0.000
94 44 -808.770 0.000
96 44 -825.966 0.000
98 44 -842.492 0.156
100 44 -859.621 0.141
102 44 -874.494 0.141
104 44 -888.438 0.140
106 44 -902.055 0.310
108 44 -915.202 0.300
110 44 -927.714 0.290
112 44 -939.060 0.230
114 44 -949.545 0.220
116 44 -959.407 0.000
118 44 -969.254 0.000
120 44 -978.556 0.000
122 44 -987.348 0.000
124 44 -995.629 0.000
126 44 -1003.412 0.000
128 44 -1005.024 0.000
130 44 -1006.230 0.000
132 44 -1007.094 0.000
134 44 -1007.552 0.000
136 44 -1007.329 0.000
138 44 -1006.619 0.000
140 44 -1005.481 0.000
142 44 -1004.006 0.000
144 44 -1002.350 0.290
146 44 -1001.112 0.290
88 46 -699.649 0.000
90 46 -730.992 0.000
92 46 -761.066 0.106
94 46 -789.873 0.000
96 46 -817.521 0.000
98 46 -836.390 0.000
100 46 -854.914 0.160
102 46 -873.752 0.148
104 46 -890.393 0.148
106 46 -906.086 0.148
108 46 -920.944 0.148
110 46 -935.069 0.147
112 46 -949.009 0.197
114 46 -962.050 0.203
116 46 -974.318 0.212
118 46 -986.533 0.129
120 46 -997.934 0.000
122 46 -1008.881 0.000
124 46 -1019.308 0.000
126 46 -1029.255 0.000
128 46 -1038.630 0.000
130 46 -1041.313 0.000
132 46 -1043.546 0.000
134 46 -1045.403 0.000
136 46 -1046.786 0.000
138 46 -1047.342 0.000
140 46 -1047.417 0.000
142 46 -1047.360 0.158
144 46 -1047.415 0.250
146 46 -1047.370 0.280
148 46 -1046.915 0.278
150 46 -1046.086 0.265
152 46 -1045.006 0.240
92 48 -730.696 0.000
94 48 -762.897 0.000
96 48 -794.079 0.000
98 48 -823.986 0.000
100 48 -844.584 0.000
102 48 -864.335 0.118
104 48 -884.924 0.141
106 48 -903.322 0.145
108 48 -920.720 0.146
110 48 -937.317 0.144
112 48 -953.125 0.143
114 48 -968.195 0.146
